id,name,groups
2,сзмж,2
2,творог классический лайт,2
2,молоко топленое,2
2,молоко гр,2
2,молоко топ,2
2,молоко овсяный ne moloko классический лайт,2
2,творог пл бут,2
2,печенье сахарное топленое молоко большая кружка ультрапастеризованное тва,2
2,печ кофе топленое бут,2
2,творог томское молоко слив орехов шокол лимон сгущ,2
2,молоко,2
2,печенье сахарное топленое бзмж,2
2,творог молоко питьевое ультрапастеризованное божья коровка топленое из,2
2,молоко топленое первый вкус,2
2,хруст хвороста,2
2,сырок глазированный,2
2,круассан вар сгущ,2
2,конфеты птичье молоко ультрапастеризованное,2
2,вафли вар сгущ,2
2,молоко нарада,2
2,молоко вес,2
2,сырок вар сгущ молоко вес,2
2,творог фас,2
2,молоко домик деревне ультрапастеризованное бзмж,2
2,алекс мол сгущ гост крышкой,2
2,бзмж молоко клевер топленое гост гр,2
2,конфеты птичье молоко стакан гр,2
2,сыр топленое по,2
2,сгущ молоком кг,2
2,молоко домик деревне ультрапастеризованное фрау му топленое городец,2
2,молоко топл мл тба,2
2,молоко любятово топленое мл пэт,2
2,молоко очень важная корова пэт,2
2,печенье топленое мдж литр тба бзмж,2
2,пирожное мирэль эклеры со сгущ кг пл,2
2,молоко топленое фрау му,2
2,сочник,2
2,молоко топленое гр,2
2,напиток молоко бзмж,2
2,творог гост гр,2
2,мол сгущ,2
2,печенье ешкина коровка вкус топленое из кореновки крем,2
2,ваф со сгущ,2
2,молоко ультрапастеризованное бидончик мл,2
2,печенье орешки со сгущ молоко гост,2
2,печенье любятово,2
2,вологодские мол сгущ гр,2
2,творог кг,2
2,эклер со сгущ,2
2,молоко топленое мдж,2
2,сырок глазир сгущ гр,2
2,печенье аромат топленое очень важная корова молоко ультрапастеризованное,2
2,молоко восстановленное из корен сырок сгущ главпродукт премиум,2
2,молоко сл слобода,2
2,молоко эконива,2
2,сзмж сгущ,2
2,сырок гл сгущ гост,2
2,молоко паст топлен,2
2,творог рузское молоко ультрапастеризованное эконом,2
2,творог стаб бэг молоко топленое фас,2
2,печенье топленое молоко,2
